x,g_lower,g_upper,g_median,up_lower,up_upper,up_median,dp_lower,dp_upper,dp_median,sp_lower,sp_upper,sp_median,um_lower,um_upper,um_median,dm_lower,dm_upper,dm_median,sm_lower,sm_upper,sm_median
0.000432876,-0.064961153,0.05585771,-0.008308012,-0.003218508,0.008240807,0.003007571,-0.011560535,0.000434211,-0.00536014,-0.008831668,0.004421536,-0.002191446,-0.003926226,0.000945627,-0.001333264,-0.006684755,0.002488377,-0.001719708,0.003560057,0.009439749,0.006443253
0.000503524,-0.064481414,0.055948648,-0.008164425,-0.003007984,0.008511307,0.003433159,-0.012453024,-0.000104773,-0.006149569,-0.009261102,0.004349775,-0.002689821,-0.004240635,0.00109699,-0.001409364,-0.007354156,0.002665832,-0.001900364,0.003806568,0.01026776,0.007004972
0.000585702,-0.06609518,0.057548306,-0.008229547,-0.002734263,0.008922544,0.003690921,-0.013196405,-0.000760391,-0.006904594,-0.009685314,0.004470347,-0.002875478,-0.004570165,0.001271457,-0.001482108,-0.008085461,0.002848291,-0.002139678,0.004105093,0.01112996,0.007604236
0.000681292,-0.066586766,0.059321277,-0.007461682,-0.002302517,0.009293302,0.004009513,-0.01370072,-0.00160665,-0.007680284,-0.009881938,0.004297068,-0.002970473,-0.004835178,0.001470959,-0.001504948,-0.008782031,0.00301214,-0.002333277,0.00428941,0.011888609,0.008112525
0.000792483,-0.067710323,0.060397196,-0.007697822,-0.001897021,0.009719314,0.004456138,-0.014807837,-0.002351706,-0.008532298,-0.01058172,0.004475726,-0.003054558,-0.005197838,0.001701757,-0.001558366,-0.009640653,0.003381166,-0.00250938,0.004613167,0.012879098,0.008750025
0.000921821,-0.068005959,0.062364997,-0.007323941,-0.001483318,0.010236517,0.004933716,-0.015852945,-0.003238354,-0.009547813,-0.011140279,0.004457002,-0.003564643,-0.005583424,0.001969071,-0.001613957,-0.010575244,0.00370278,-0.002692443,0.004869421,0.013927995,0.009419643
0.001072267,-0.066929875,0.062124849,-0.00730572,-0.001041164,0.010865729,0.005404207,-0.01692504,-0.004234285,-0.010568511,-0.011864377,0.004452786,-0.00388563,-0.005979609,0.002305492,-0.001664441,-0.011634351,0.003938841,-0.002902947,0.0051713,0.015069287,0.010103212
0.001247267,-0.069188676,0.063282792,-0.00555956,-0.000707017,0.011315676,0.00595458,-0.01814515,-0.005350165,-0.011805302,-0.012240761,0.004687673,-0.004177951,-0.006339615,0.0026945,-0.001673654,-0.012851009,0.004347523,-0.003195143,0.00537747,0.016292719,0.010819507
0.001450829,-0.069417242,0.064481642,-0.005163221,-1.80817E-05,0.011801785,0.006530166,-0.019429111,-0.006552269,-0.013121461,-0.012720291,0.005027821,-0.004195675,-0.006630042,0.003095237,-0.001587959,-0.013811213,0.004715854,-0.003475809,0.00534834,0.017222348,0.011355525
0.001687612,-0.071004582,0.066447411,-0.006021753,0.000699151,0.012571949,0.00726029,-0.02103512,-0.00777396,-0.01468756,-0.013496222,0.005422542,-0.004451676,-0.006998883,0.003578044,-0.001540037,-0.014995888,0.005031887,-0.003814812,0.005619683,0.01843503,0.012043653
0.001963041,-0.071270881,0.06641513,-0.005812775,0.001400304,0.01351154,0.007851406,-0.022700435,-0.009136269,-0.01642223,-0.014275923,0.005781656,-0.004691067,-0.007423686,0.004120307,-0.001452439,-0.016238485,0.005529034,-0.004194288,0.005942766,0.01971567,0.012813026
0.00228342,-0.072798657,0.067154157,-0.005644463,0.0021348,0.014578132,0.008795651,-0.024670971,-0.010651821,-0.018049306,-0.015048598,0.006144811,-0.00464089,-0.007835935,0.004821277,-0.001295339,-0.01755451,0.006090044,-0.004608326,0.006112521,0.021176845,0.01353763
0.002656088,-0.075384765,0.067894864,-0.00572271,0.003321368,0.015316775,0.009836933,-0.0263773,-0.012228495,-0.019989052,-0.015621416,0.006178529,-0.004740081,-0.007934183,0.005558599,-0.001025311,-0.018642899,0.006367478,-0.004956073,0.006148304,0.022020228,0.014107323
0.003089577,-0.075952217,0.071558541,-0.005880551,0.004370717,0.016451513,0.011037554,-0.028806405,-0.014055504,-0.021843607,-0.016422189,0.006762623,-0.005057525,-0.008249089,0.006437651,-0.000698488,-0.02023604,0.007047533,-0.00543513,0.006053273,0.023288113,0.014747131
0.003593814,-0.077876236,0.071156326,-0.006019094,0.005582762,0.018068549,0.012356574,-0.031359483,-0.015853199,-0.024165081,-0.017515855,0.007430288,-0.005342016,-0.00858112,0.007413395,-0.000378732,-0.022100504,0.007544332,-0.005681332,0.006063961,0.024454516,0.015364702
0.004180345,-0.077491751,0.070407725,-0.008134767,0.006902482,0.019688108,0.013791647,-0.034205429,-0.017877463,-0.026655468,-0.018309087,0.008375686,-0.005529182,-0.008817907,0.008531329,0.000104655,-0.024138648,0.008215314,-0.006124034,0.005799897,0.025645152,0.015832068
0.004862602,-0.079243542,0.070541897,-0.008477519,0.008401556,0.021507864,0.015424464,-0.037087405,-0.020301262,-0.029208197,-0.01897225,0.009155477,-0.005668516,-0.008800586,0.009763905,0.000664693,-0.025913789,0.008724532,-0.006624326,0.005386267,0.026882109,0.016338608
